comment,toxic
 re considering  st paragraph edit  i don t understand the reasons for  s recent edit of this article  not that i m sure that the data are necessarily wrong  rather  i m persuaded that the strategy of introducing academic honors in the first paragraph is an unhelpful approach to this specific subject i note that articles about other sitting justices have been similarly enhanced and i also believe those changes are no improvement  in support of my view that this edit should be reverted  i would invite anyone to re visit articles written about the following pairs of jurists a benjamin cardozo  a learned hand b john marshall harlan  b john marshall harlan ii  the question becomes  would the current version of the wikipedia article about any one of them  or either pair  be improved by academic credentials in the introductory paragraph i think not perhaps it helps to repeat a wry argument kathleen sullivan of stanford law makes when she suggests that some on the harvard law faculty wonder how antonin scalia avoided learning what others have managed to grasp about the processes of judging i would hope this anecdote gently illustrates the point  less humorous  but an even stronger argument is the one clarence thomas makes when he mentions wanting to return his law degree to yale at a minimum  i m questioning this edit it deserves to be reconsidered  ,0
radial symmetry several now extinct lineages included in the echinodermata were bilateral such as homostelea  or even asymmetrical such as cothurnocystis  stylophora ,0
there s no need to apologize  a wikipedia article is made for reconciling knowledge about a subject from different sources  and you ve done history studies and not archaeology studies  i guess  i could scan the page  e mail it to you  and then you could ask someone to  trans late the page ,0
yes  because the mother of the child in the case against michael jackson was studied in here motives and reasonings and judged upon her character just as harshly as wacko jacko himself don t tell me to ignore it and incriminate myself i am going to continue refuting the bull shit  that jayjg keeps throwing at me jun utc ,0
  ok  but it will take a bit of work but i can t quite picture it  do you have an example i can base it on the duck  ,0
 a barnstar for you  the real life barnstar lets us be the stars ,0
how could i post before the block expires the funny thing is  you think i m being uncivil ,0
not sure about a heading of  fight for freedom  what will it contain ,0
praise looked at this article about months ago  much improved ,0
i was able to post the above list so quickly because i already had it in a text file in my hard drive  i ve been meaning to get around to updating the sound list for some time now as far as generating interest  i ve spent four years trying to drum up more interest in freely licensed full length classical music  unfortunately  my attempts failed i m still effectively the only one who does it  the classical music wikiproject was not interested wikipedia talk wikiproject classical music archive need help wikipedia talk wikiproject music archive i could use some helpwikipedia talk wikiproject music archive raulbot  c and the music list  so i really had given up trying to interest others  the sound list was featured on digg a while back http digg com music wikipedia has free classical music downloads it got diggs  which is imo very impressive ,0
  well  not before the process but before how we do things with subpages his rfa is listed on noseptember s page and you can find it if you look  september i think  i have my differences with el c to be sure  but was surprised to see a block  so i left a note  t c  ,0
 not at all  you are making a straw man argument here  i never claimed o donohue had that position  rather that practitioners and researchers in the field ignored the dsm position  which is exactly what the quote says and also something o donohue agrees with  again  i was combating the notion that it was a absurd part to claim that pedophilia is a  sex  orientation  since many researchers hold this position  it would be unfair to call it absurd  the disorder part is divided in the field  some argue that it is not a disorder at all  some do  at the end of the day  it is a value judgment  as cantor pointed out earlier in the thread not a scientific judgement  if we choose to make this value judgment in the article  it should be stated clearly and not pretend to have a scientific basis  ,0
 mainland asia includes the lower basin of china s yangtze river as well as korea but being specific is fine too i just found a citation for a more comprehensive dna study by hammer below  rather than our generarizations and speculation so far  citation for yayoi culture was brought to japan by migrants from korea  who in turn trace their roots to southeast asia south china dna study by hammer  describes the yayoi migration from korea based on the o sry genes and other genes with close lineage  haplogroups o m and o m reiterates that the entire o haplogroup has been proposed to have a southeast asian origin  their definition of southeast asia includes southern china then hypothesizes that the dispersals of neolithic farmers from southeast asia also brought haplogroup o lineages to korea and eventually to japan  in the concluding paragraph  it states we propose that the yayoi y chromosomes descend from prehistoric farmers that had their origins in southeastern asia  perhaps going back to the origin of agriculture in this region  hammer s dna study is based on a global sample consisted of males from asian populations  including six populations sampled from across the japanese archipelago  ,0
pretty much everyone from warren county surrounding regions was born at glens falls hospital  myself included  however  i m not sure this qualifies anyone as being a glens falls native  rachel ray is  i believe  actually from the town of lake luzerne  the preceding unsigned comment was added by august utc ,0
hi explicit  can you block o fenian for edit warring on the giant s causeway wp  he has made several edits which can only be described as terrorism ,0
notability of rurika kasuga a tag has been placed on rurika kasuga  requesting that it be speedily deleted from wikipedia  this has been done because the article seems to be about a person  group of people  band  club  company  or web content  but it does not indicate how or why the subject is notable  that is  why an article about that subject should be included in wikipedia  under the criteria for speedy deletion  articles that do not assert notability may be deleted at any time  please see the guidelines for what is generally accepted as notable  and if you can indicate why the subject of this article is notable  you may contest the tagging  to do this  add  on the top of the page  below the existing db tag  and leave a note on the article s talk page explaining your position  please do not remove the speedy deletion tag yourself  but don t hesitate to add information to the article that would confirm its subject s notability under the guidelines for guidelines on specific types of articles  you may want to check out our criteria for biographies  for web sites  for bands  or for companies  feel free to leave a note on my talk page if you have any questions about this ,0
 sure  but the lead must briefly summarize armenia s history  i simply added what i found necessary  if anyone thinks this or that sentence is redundant for the lead  they are welcome to remove make edits talk ,0
tfd i think we just eced  i think we responded to each other without seeing each others responses  i added something in response to yours  but don t know if you saw mine t c  wp chicago wp four ,0
you are  gay  or antisemmitian archangel white tiger  meow  greetingsh uh  there are two ways  why you do erased my comment about ww that holocaust was brutally slaying of jew s and not  gay s gypsys slavs anyone if you are anti semitian  than shave your head bald and go to the skinhead meetings if you doubt words of the bible  that homo sex ity is a deadly sin  make a pentagram tatoo on your forehead go to the satanistic masses with your  gay  pals first and last warning  you fuck  ing  gay i won t appreciate if any more  nazi  shwain would write in my page  i don t wish to talk to you anymore beware of the dark side ,1
  fuck your filthy mother in the ass  dry ,1
i m sorry i m sorry i screwed around with someones talk page it was very bad to do i know how having the templates on their talk page helps you assert your dominance over them i know i should bow down to the almighty administrators but then again  i m going to go play outside with your mom ,1
i don t believe the lisak criticism present there conforms with the npv rule lisak doesn t have a neutral point of view to begin with if an offer to polygraph or even concerned review of polygraph results shocks a complainant into thinking her lies have been uncovered  the recantation is still perfectly valid if you know you are telling the truth  you will argue with machine or investigator also part of kanin s research was a followup of the recanted story where possible to verify if any were false recantations in all followups the recanted version of events matched what the accused said happened arguing that lisak is a respected phd is baseless if kanin is a respected phd i agree that my edit wasn t as neutral as possible though  so apologize for that still something must be done here ,0
you had a point  and it s now ammended with appropriate encyclopedic notability significance ,0
in other words  you re too lazy to actually point anything out  until you change that approach  the tag goes ,0
  as for your claims of stalking that is absolute rubbish and serves only to aggravate the situation  i have assumed good faith  and good intentions  on your part  and have never suggested  or seen reason to suggest  that you might have some ulterior motive in mass adding links to one specific company s web page  nor  for that matter  have i ever made any suggestion that this is an administrative matter or even mentioned such a role clearly  as a party to this disagreement  i would not do so at any rate as it would be a conflict of interest i would ask that you thus extend the same good faith toward me  rather than making spurious and unfounded accusations  chatspy ,0
 jmabel  in regards to predominant scholary consensus who is it that allegedly claims despite third way rhetoric  fascism in power functioned rather consistently as a right wing force as far as i m aware  owning numerous books on the subject  that is not the scholary consensus at all  the consensus  developed by respected scholars of fascism who write in a manner which is not bias to any interest group such as roger griffin  hamish mcdonald  roger eatwell and zeev sternhell all recongise fascism as a third way as the references show the only dissenters i m aware of who seem to think fascism has absoutely no leftist connections and is merely a radical right system are street level socialists who want to put as much distance between the movements as possible  this of course does not come from educated people in a position to write books  for example  even the foremost scholary expert on fascism  and a former member of both the communist party and then socialist party of italy  renzo de felice doesn t try to cover up its socialistic origins and third way status  this is a man who has wrote a definitive seven volume piece on mussolini ,0
 bi  you said you wanted to talk  at the bottom of the lead section you have written its promoter speculated in that the skyhook concept could be cost competitive with what is realistically thought to be achievable using a space elevator  but the skyhook is not competitive with other rotating tether concepts  in addition  the rotating skyhook is in fact deemed not engineeringly feasible using presently available materials regarding in addition  the rotating skyhook is in fact deemed not engineeringly feasible using presently available materials that statement appears to come from ref on page the full quote is if the mass of the tether alone started to exceed times the mass of the payload  then that was an indication the particular scenario being considered was not engineeringly feasible using presently available materials  although the application might become feasible in the near future as better materials become available with higher tensile strengths at higher operational temperatures  it then goes on to say as we shall see  presently available commercial materials will suffice to make the hastol tethers needed  the primary message we want to leave with the reader is we don t need magic materials like buckminster fuller carbon nanotubes to make the space tether facility for a hastol system  existing materials will do  so it would appear that you misread your reference the tether mass of times mass of the payload mass is the upper limit to the problem systems where the tether mass is less than times the payload mass can be built with presently available commercial materials  to further reinforce this the conclusion to the report states the fundamental conclusion of the phase i hastol study effort is that the concept is technically feasible  we have evaluated a number of alternate system configurations that will allow hypersonic air breathing vehicle technologies to be combined with orbiting  spinning space tether technologies to provide a method of moving payloads from the surface of the earth into earth orbit  for more than one hastol architecture concept  we have developed a design solution using existing  or near term technologies  we expect that a number of the other hastol architecture concepts will prove similarly technically feasible when subjected to detailed design studies  the systems are completely reusable and have the potential of drastically reducing the cost of earth to orbit space access  regarding but the skyhook is not competitive with other rotating tether concepts  and a boeing report on the possibillity of combining skyhooks with hypersonic planes concluded that in general  the non spinning tether hyperskyhook concept does not look competitive with the spinning tether concepts the full quote is hyperskyhook  in zubrin proposed the hypersonic skyhook as a solution to the mismatch between the attainable atmospheric speeds of a hypersonic airplane and the orbital speeds of space tethers  since the orbital speed of the space tether decreases with increasing altitu,0
get fuck  ed up  get fuck  ed up got a drink that you cant put down get fuck up get fuck  ed up i m fuck  ed up right now ,1
are you threatening me for disputing neutrality  i know in your country it s quite common to bully your way through a discussion and push outcomes you want  but this is not russia ,0
thanks  undeletion was more than i d hoped for  i m researching the status of texas government  including local government  copyright status  but it s slow going  apparently works of the florida government are usually public domain  but we don t have a similar article on texas  so i guess i ll have to research the old fashioned  non lazy  actually reliable way  or ask the copyright help desk  like you suggested  in the meantime  i m using the fair use rationale  since it s valid while the image is used in an article  thanks again ,0
awesome  then i ll simply disregard your notice  thanks ,0
stupid peace of  shit  stop deleting my stuff  ass hole  go die and fall in a hole go to hell ,1
 tony sidaway is obviously a fist  fuck  ee  he loves an arm up his ass ,1
 ga review ii i m sorry to say this  but i have to fail this article s gan  the several major problems that  brought up in this article s previous ga assessment have not been issued  as s he has said before me  he article s wp lead should be longer  the history  media attention  academics  student government  demographics  trivia  and additional information section are very deficient in citiations  also  triva and additional information should be integrated into the rest of the article  again  please look over wp wiaga and fix these problem  then renominate it for ga class  however  i have re assessed this article as b class  as it does meet b class criteria  my regards  ,0
my band page s deletion  you thought i was gone  deleting the comment i posted on your  talk page  does not delete my feelings for your hasty decision to delete my page  you  sir  are still a cock suck ing douche fuck sit back for a second and think about what your life has become done  that didn t take long did it  nope  because  as i am most certainly aware  your life is a  shit storm of sitting in front of the computer masturbating to fictional creatures  your attempts to get rid of me are mediocre at best  you are constantly  suck ing the dick of failure  you don t want a personal attack  huh  well  too bad fuck  cock  mcdickerson  you ve got one  from me  you can go ahead and delete my profile from wikipedia  i ll just make another one and come right back to  syrthiss s talk page and insult the dick off of you  how could you shatter the dreams of an innocent eighteen year old college freshman trying to make a name for his band  does that make you happy fuck  ing with people because you re an overweight  single  old man in a dead end job  did you spot that perhaps someone else was going to follow his dreams and you were trying to hold him back so somebody else could suffer like you  yes you did  i don t make empty threats  so i won t be saying anything along the lines of  i ll hurt you  or  i ll eat the children from within your sister s womb but i will say that you are a  ass hole son of a bitch mother fuck  ing cock suck so  go eat some more food and drown your sorrows you premature ejaculating  bald headed fuck you should do something nice for yourself  maybe go grab a couple of horny goat weeds from your local convenience store and jack off for a little longer than three minutes tonight sincerely  an  ass hole  that s better than you in every way ,1
why can t you believe how fat artie is  did you see him on his recent appearence on the tonight show with jay leno  he looks absolutely awful  if i had to put money on it  i d say that artie lange is a can t miss candidate for the dead pool  kindly keep your malicious fingers off of my above comment everytime you remove it  i will repost it ,1
locking this page would also violate wp newbies whether you like it or not  conservatives are wikipedians too ,0
a bi sex like a homo sex  or a hetero sex is not defined by  sex  activity much like a year old boy who is attracted to a girl  sex ly but has never had sex is still straight a person who is actually  sex ly attracted aroused by the same sex as well as the opposite sex is bi sex  ,0
redirect talk frank herbert mason,0
 christian arabs hi  could you please stop enforcing the category christian arabs on non arabic christians living in the middle east  this is wrong  we middle eastern christians  though not arabs  have gone through arabization  and that needs to stop  we are not arabs  we have our own ethnicity  and we shouldn t be forced to be called christian arabs if a christian european is born in the middle east  should he be called a christian arab because of that reason alone  please understand  they are syriac christians  i e  of assyrian ancestry and most of them speak aramaic  though a lot of them are forgetting it  as someone who speaks aramaic  you should respect this fact  and not appease muslims who want to call everyone arabs just because they re in the middle east  we are not closely related to the arabs from saudiarabia  we have our own ethnicity  please stop forcing upon us some alien arab ethnicity  that s oppression talk jun utc  ,0
 dh  dude  abc officially says this is the name for that episode  i do know there is already an episode with that name  but abc says it s everybody s says don t ,0
all of my edits are good cunt s like you who revert good edits because you re too stupid to understand how to write well and then revert other edits just because you ve decided to bear a playground grudge  are the problem maybe one day you ll realise the damage you did to a noble project ,1
 neiln s bang on you aren t being harassed at all  if you don t edit disruptively  you don t get reverted  talk  ,0
i went there around the same time he did  and that certainly was not the case at the time  later on they stopped taking children from such a young age ,0
there must be some chemical imbalance in your brains  are you ok  the gibberish you guys are writing really makes me feel sorry for you  don t ever go to law school  you would do the legal profession bad ,0
 parzival you are trying to scare thatso  how can you say that the comments of thatso are insulting thatso is trying to suggest that there should be no original research in the wikipedia  and  he is right ,0
 oppose as the article stands  it does not properly reference under the wp reference guidelines  if this issue is resolved  i don t any issues with it being moved to the mainspace  ,0
i would appreciate an apology from both of you but i can see that is unlikely  if not please don t waste my time any longer with attempts at trying justify either your or plasma physics  trans gressions toward me or bother me any longer about this issue and i shall leave you alone and seek others here who deserve my considerate attention ,0
they are not original research  they are pointed in the episodes ,0
 ambiguous so mabuska irish can mean more than one thing i will qoute you on that  thanks preceding unsigned comment added by of course it can  the word irish wasn t invented on the establishment of the irish free state  talk quote me all you want  it depends on the context of the term when its being used as to whether its applicable or not  note how i said citizenship and ethnicity i never mentioned nationality which is the real key meaning  the nationality meaning of the term is the predominantly used form on wikipedia  in nationality terms it refers to the republic of ireland  but you already know that i m sure  talk in nationality terms it refers to the republic of ireland no such country so nationality terms it refers to ireland preceding unsigned comment added by oh wow  ireland as in ireland the state  whose official description is the republic of ireland whats the point in this inane conversation  talk ireland whose official name is ireland preceding unsigned comment added by http w constitution ie reports constitutionofireland pdf reading for you also i see http w constitution ie reports mbunreachtnaheireann pdf as you speak both preceding unsigned comment added by ,0
  while the magazine s masthead says time the corporate name is time inc you can easily look this up on the other hand  abn amro is always the corporate name you can look this up as well  ,0
take your belated and piffling prevarications elsewhere  too late for here ,0
that s what i m looking through  it looks like he was just being an all around dick on talk pages though  it s nothing too bad though  looks more like an inability to express himself properly  thank you for your concern also  cheers ,0
in the same direction  is it really necessary to name all the us states who recognize it  why not give just the number of states  this is not an american encyclopedia  but an universal one  i don t see why every single us states which recognize it should be named  ix ,0
 december utc you must not play metal gear solid that often  gw is the arsenal gear a i  that went haywire after solid snake uploaded emma s virus ,0
hi  i am back again  last warning  stop undoing my edits or die ,1
 minimization of textile effluent  a proposed deletion template has been added to the article minimization of textile effluent  suggesting that it be deleted according to the proposed deletion process  all contributions are appreciated  but this article may not satisfy wikipedia s criteria for inclusion  and the deletion notice should explain why  see also what wikipedia is not and wikipedia s deletion policy you may prevent the proposed deletion by removing the  notice  but please explain why you disagree with the proposed deletion in your edit summary or on its talk page  also  please consider improving the article to address the issues raised  even though removing the deletion notice will prevent deletion through the proposed deletion process  the article may still be deleted if it matches any of the speedy deletion criteria or it can be sent to articles for deletion  where it may be deleted if consensus to delete is reached  if you agree with the deletion of the article  and you are the only person who has made substantial edits to the page  please add  to the top of minimization of textile effluent  ,0
 is it scientific to attribute an event a  to cause b  where cause b was deliberate designed  with some sort of intelligent intent  don t answer the questions beyond that well  the problem with not answering beyond that is that your example is completely rigged  there are several major fundamental problems here  first  you completely fail to mention the fact that the intelligence behind id is quite literally not of this earth  natural science might look at a honeycomb  see it is built by bees  and then find an odd looking fossilized honeycomb  and theorize that it was made by odd looking bees  that is fundamentally different than saying it was made by something not of this earth  id has at its core the notion that something outside the system we can observe is at cause here  this is not science in any sense of the word  it is mythology  when paul bunyan was having a wrestling match with babe his blue ox  they kicked up so much dirt they created the great lakes  no evidence of paul and his ox remain  i mean  really  second  natural science takes an approach to knowledge that nothing is known scientific law unless it is irrefutable  theories must have heavy supporting empirical data to back it up  id turns this on its head and does an end run around knowledge and plays games with probabilities if no one can say how flagella on bacteria could have formed naturally  how in the hell can id proponents come up with any sort of mathematically accurate probability of flagella naturally forming on bacteria  if you don t understand it  you can t do statistics on it  id jumps right over that hurdle and takes anything that doesn t have a complete  detailed  natural explanation and jams in their own statistics that say well  it s so improbable for this to happen  that someone must have designed it this is such a perversion of science  you can assign probabilities to something you don t understand  id is just making up their numbers  finally  your example has a  b  where b was deliberate design  that s all well and good for a rigged example  except that with respect to life on earth  b is unknown  your a  b example might qualify as forensic science  if a were a dead body and b were a bullet in the heart  you see a bunch of dead bodies with bullets through the heart  the next time you see a body with a bullet through the  heart  you can probably figure that s what killed him  you don t have that with life on earth  you have one scenario  a and you have no other cases to observe or test  so  in that sense  a  b is not scientific if you ve never actually observed b btw  b is teh intelligent designer  which has never been observed so  in that sense  no  it isn t science  ,0
screwjob hey i noticed your comments on the montreal screwjob discussion page  i decided since nobody except someone with no account objected to what you said  i would atleast change the page a little to make it fair  i just wanted to tell you because i thought you would like to know  i only changed a few words at the top of the first paragraph and added something to the second one  if your not bothered thats fine but i thought since you were fighting for and nothing was even said  i might aswell tell you ,0
april thank you for experimenting with the page andy griffith on wikipedia  your test worked  and has been reverted or removed  please use the sandbox for any other tests you want to do  take a look at the welcome page if you would like to learn more about contributing to our encyclopedia ,0
 christ  iq is selected for therefore every population has the same iq  never ceases to amaze me  ,0
can you prove it isn t if you had a better knowledge of the english language it would have been obvious to you ,0
would you both shut up  you don t run wikipedia  especially a stupid kid ,1
oh  it s me vandalising xd see here  greetings ,0
website hey all  i was thinking of getting myself a website to display my pictures and this was the cheapest thing i could find  i don t know about others  but fir and diliff  you guys have websites  do you think it is legit  could you provide any better alternatives  help from any other guild member is also appreciated  thanks  talk ,0
thanks reading there now  ,0
personal attacks in fruit brute vfd my apologies if i m being to critical  but i feel that many of the comments made in the fruit brute vfd debate were far from reasonable there had to be a more diplomatic way to disagree with  s assertion on the initial sentence than don t lie  it makes you look even more juvenile  learn to face up to when you ve goofed  it will go a long way in your life  the attacks do to his age certainly border on a personal attack were bart forty  sixty  or eighty  would you have included the comment on how  juvenile  he is i don t expect you to apologise to anyone  but i want to make it clear that i consider your comments in this vfd debate inappropriate  and i think their are many members of the community who would agree with me  talk feb utc ,0
 trans literation of russian place names in writing about moscow metro for the malayalam wikipedia  we are finding it difficult to correctly  trans literate the russian place names  for example  do we pronounce park kultury as paark kalttari or paark kalchchari  or perhaps something completely different can somebody please help by  trans literating the list given in https ml wikipedia org wiki i am not putting the list here as i don t want to clutter up this page thanks,0
  almost got me too  i had to look it up to see if it was real talk  ,0
how can one defame someone who thinks the fort hood shooting is justified by god s law ,0
lack of balance  this article is seriously out of balance it would benefit greatly from the introduction of additional information about the negative aspects of the t just for the record  this sort of balance problem is not uncommon when there is an over dependence on the works of a particular author for example  testing and evaluation of a t by the us army ordnance dept  exposed some very serious problems with the tank this type of information should be included in the article to bring it back into balance ,0
 thanks  i can see that violating clearly stated wikipedia policy is no problem with some people  as is now being reviewed elsewhere  finishing up one other wiki project todsy and then spending the rest of the day on an important personal blog entry then i ll go find other discussions of james petras  fascinating discussion of the use of the term jew ish lobby so that i don t have to put back up the deleted dissident voice article right away per talk jew ish lobby wp v comparing jewish virtual library and dissident voice  carol moore  talk ,0
  hi thanks for our kind words  see you around talk  ,0
collusion in poker this is regarded as most heinous form of cheating in poker  perhaps some mention of this  or example  is warranted ,0
thanks much however  if it s been resolved  why is it that today  when i didn t write anything in edit summary  camera put its ad in my edit summary box  equalvoice talk ,0
you can do all you re doing right now but if you get a username you ll be able to do more and have more impact is what i m saying  and you seem to be very familiar with everything so you probably have a username  just get one  it takes seconds  talk contribs ,0
however  the moonlite edit noted by golden daph was me  on optus wake up wikkis so funny,0
check the following websites http w iranchamber com personalities farabi farabi php http w islam org br  c  a al farabi htm http w superbeyin com sohbet sohbet htm,0
i can t believe no one has already put up this page dilbert s desktop games so i did,0
 well  after i asked you to provide the diffs within one hour of your next edit here  you made an edit to your talk page here and then did not provide the diffs i requested within one hour of that edit  i then sanctioned you for failing to provide the requested diffs in a timely manner  which  after more than a week  you have still not done consequently  your request to lift the sanction is denied  ,0
what page shoudld there be for important characters that don t reoccur  void  black doom  mephiles  etc,0
a pair of jew  hating weiner  nazi  schmucks ,1
i tend to think that when the list is longer than the rest of the article  there s a problem either the history and characteristics should be expanded  of the list should be culled i personally like the consensus that was reached in the tripel article between  and others myself included we decided that the country of origin should be highlighted with the most examples there we did trappist  abbey  and foreign foreign includes all non belgium examples this way the article is an article in an encyclopedia  not a list people can find lists anywhere  and the article should reference this also  the style statistics are bad when you say style statistics  it sounds like a prescription  not a description an encyclopedia should follow the latter  and if the former is used  a citation should follow and you ll not find a valid one for this style in it s country of origin ,0
 what s up with this if you are a religiously or politically motivated to push this or that issue  please refrain from talking on my page  i am not interested  otherwise  feel free to talk about relevant edits here or science  deleet  talk i would prefer if the following users never post here  maunus aunus  snun  w weijibaikebianji this guy is a published psychology researcher right  perhaps he doesn t know you have access to libraries and the best sources  you should point that out more often  it doesn t come across as mind bendingly condescending  also i suspect that editor is a racist  see you on the wiki ,0
i m not vandalizing i m just having fun man  you have no sense of humor if you think i m vandalizing stuff  lemonparty org this site now,0
welcome to wikipedia bla  discover ekopedia  the practical encyclopedia about alternative life techniques  bla  discover ekopedia  the practical encyclopedia about alternative life techniques ,0
including some appropriate mention of the solomon article is not without some level of support  ,0
 comment  i could not verify the claim  talk ,0
 czech republic is in central europe  the state of this article is part of the reason why people are making such confusions  especially more ridiculous is that they you would replace the mention of north caucasus in favor of north slope of caucasus mountains which isnt even a geographical area other than denoting the mountains in that region  countries are located within continents  yet for some reason you refuse to allow this article to be denoted a continent  this single factor alone would have made a massive difference for readers  i m tired of arguing with people who are essentially wiki squatters refusing to nudge on a given article ,0
thanks  josette  i enjoyed meeting you  too  i was shocked by the decision  which does not begin to reflect consensus  does just one grand poobah make it alone  serves me right for stealing time from more pressing real world duties to indulge in a fun hobby  i ve learned my lesson and won t waste time like that again  i ll stick to fixing the little things i run across as i read articles for my own information ,0
paleontologists agree that organic remains must be buried quickly so they can be preserved long enough to be come fossilized however  the term fossilized is not a very precise term there are several factors and metamorphic mineral processes which occur to organic remains that result in what is typically called a fossil one major factor concerns what kind of organisms are to be fossilized  vertebrate  invertebrates  radiolarians  sponges  plants  pollen  foot prints  etc and multiple processes may include permineralization  recrystalization  carbonization  replacement  dissolving  diagenesis  etc talking about fossilization is a complex issue  however quick burial is not questioned the major question is  how long does it take for these processes to work on organic reamins in the environment they are found in experimental taphonomy has resulted in an assortment of remains becoming fossilized by various processes in the lab  which of course implies that given the right conditions  vast ages are not an issue the metamorphic processes are ongoing until an equilibrium is met between the chemical enviroument of the burial site and the minerals of the organic remains flood catastrophic geologists do not expect that organic remains buried during the flood were completely fossilized within the one year period of the flood  but rather that there has been some years for the processes to have been working much more work needs to be done on the taphonomy of organic remains yet  how one interprets even those results will depend upon which world view you choose to believe with ,0
also i think vegetable basket needs it s own wikipedia page ,0
bigfoot reference the magazine is better known as just the engineering and mining journal  which you may have a difficult time finding  depending on where you live i ran across the article a few years ago while researching something else  and made a copy it is clearly derived from press accounts  and treats the incident as a joke my whole point in citing it was to show that the incident  w hate ver it was  was not  entirely  created years after the fact if you leave me your email  i will scan the page and email you a pdf ,0
